clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,guidance_scale,seed,proxy_arousal_foldmean
anxiolytic.sleep.p5.g3,anxiolytic,sleep,slow hushed music to drift off to sleep,3,musicgen-small,-34.504012460678666,0.15606689453125,3.33256509813762,2.9965722145202065,4.1080329461506775,123.046875,8.183032732130927,0.0278480891138315,0.0723516121506691,0.1057490606667154,3.0,0,3.2349370819913545
anxiolytic.sleep.p6.g1,anxiolytic,sleep,tender nighttime music for restful sleep,1,musicgen-small,-31.021211428369867,0.161224365234375,3.4442103466293386,2.908604167945763,2.957004676054108,123.046875,4.809619238476953,0.0275301113724708,0.048270083963871,0.1177162353366161,3.0,0,3.5869020015695723
anxiolytic.sleep.p6.g3,anxiolytic,sleep,tender nighttime music for restful sleep,3,musicgen-small,-31.080891336087472,0.211212158203125,3.511515556206898,3.177417823526657,3.527224208899841,123.046875,4.976619906479626,0.0260702110826969,0.0526203736662864,0.0782511758276562,3.0,0,3.468118116810291
anxiolytic.sleep.p7.g1,anxiolytic,sleep,soft slow instrumental for winding down at bedtime,1,musicgen-small,-30.26396970825868,0.24139404296875,3.4222029447953792,2.4071519512247965,2.980381485075779,129.19921875,0.83500334001336,0.0296700596809387,0.0406481996178627,0.1716833754545055,3.0,0,3.3366941896727633
anxiolytic.sleep.p7.g3,anxiolytic,sleep,soft slow instrumental for winding down at bedtime,3,musicgen-small,-31.903881117625257,0.258636474609375,3.384657326882773,2.430096117235279,2.8785871890211947,123.046875,1.1356045424181695,0.0253982078284025,0.0512235052883625,0.1556878058676935,3.0,0,3.10199285754049
anxiolytic.sleep.p8.g1,anxiolytic,sleep,tranquil sleep sounds with gentle melody,1,musicgen-small,-30.18962635129596,0.214111328125,3.415898728916193,3.5126142201242097,3.9693391409896592,123.046875,7.047428189712758,0.0336623191833496,0.0762870535254478,0.1459078218262162,3.0,0,3.4662661788150806
anxiolytic.sleep.p8.g3,anxiolytic,sleep,tranquil sleep sounds with gentle melody,3,musicgen-small,-27.914509673342508,0.231414794921875,3.3239726100197977,3.257890115035482,2.437939778083566,117.45383522727272,6.312625250501002,0.0397901274263858,0.0832120478153228,0.0563645740153313,3.0,0,3.375494559287721
anxiolytic.sleep.p9.g1,anxiolytic,sleep,delicate quiet music to help a baby sleep,1,musicgen-small,-23.84592990072301,0.36163330078125,3.285204501072573,3.720916807581904,3.289325894273893,112.34714673913044,3.0394121576486306,0.0660867467522621,0.0580495111644268,0.123292064807502,3.0,0,3.369218074690925
anxiolytic.sleep.p9.g3,anxiolytic,sleep,delicate quiet music to help a baby sleep,3,musicgen-small,-25.807207361958397,0.34771728515625,3.5313425159723946,3.6223663467404736,3.9947433548967113,117.45383522727272,3.406813627254509,0.049747459590435,0.0538887158036232,0.0460716117534382,3.0,0,3.704984006283639
anxiolytic.anxiety_relief.p0.g1,anxiolytic,anxiety_relief,calming music to relieve anxiety and stress,1,musicgen-small,-28.60137823442862,0.223846435546875,3.449721744230521,3.5790860218740765,3.9157744408763326,123.046875,6.546426185704743,0.0383600853383541,0.0777028948068618,0.1743130953210785,3.0,0,3.8731136614865624
