clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,num_inference_steps,cfg_scale,seed,clip_seed,config,proxy_arousal_foldmean
controls.high_arousal.p5.g0,controls,high_arousal,adrenaline pumping racing game music,0,stable-audio-3-medium,-17.899620493243436,0.949493408203125,5.289509341130746,5.929599684029301,4.951469522103416,112.34714673913044,2.6315816784006376,0.1280932426452636,0.0301451236009597,0.1838484558892172,8,1.0,0,75432,sweep_s8_cfg1.0,5.42678603021279
controls.high_arousal.p5.g2,controls,high_arousal,adrenaline pumping racing game music,2,stable-audio-3-medium,-17.97830390313226,0.9866943359375,4.991430097681731,4.305553172832831,4.610168843887866,80.74951171875,4.668753718270756,0.1272200793027877,0.0492893680930137,0.2341018714929187,8,1.0,0,35307,sweep_s8_cfg1.0,4.948254993124695
controls.high_arousal.p6.g0,controls,high_arousal,loud powerful rock music with heavy drums,0,stable-audio-3-medium,-16.91413744787316,1.0,5.397446106136148,5.46479257080533,5.285372859392356,129.19921875,3.3834689613683664,0.1524555534124374,0.0332567207515239,0.2474050572845008,8,1.0,0,25425,sweep_s8_cfg1.0,5.62035519458931
controls.high_arousal.p6.g2,controls,high_arousal,loud powerful rock music with heavy drums,2,stable-audio-3-medium,-14.655153349881502,1.0,5.903492065337101,6.196401441859579,5.58168886435164,143.5546875,1.6076313584384858,0.2084695398807525,0.0346875265240669,0.234123713902068,8,1.0,0,31268,sweep_s8_cfg1.0,5.576565371442319
controls.high_arousal.p7.g0,controls,high_arousal,explosive festival EDM with hard drops,0,stable-audio-3-medium,-13.349247304704802,1.0,5.879070302475716,6.132192978356044,6.382364163736391,129.19921875,5.231102748691099,0.2434110194444656,0.0464222431182861,0.1956232606737476,8,1.0,0,17720,sweep_s8_cfg1.0,6.011373010308814
controls.high_arousal.p7.g2,controls,high_arousal,explosive festival EDM with hard drops,2,stable-audio-3-medium,-12.015392464299852,1.0,5.3560728449369694,6.549608022432918,6.858080975063411,129.19921875,5.746694711538462,0.3002651333808899,0.0428334698081016,0.1127500762467445,8,1.0,0,78041,sweep_s8_cfg1.0,5.739478853909613
controls.high_arousal.p8.g0,controls,high_arousal,urgent intense chase scene music,0,stable-audio-3-medium,-19.37422637099117,0.79132080078125,6.306086846047239,5.076528715769252,5.649280428664461,117.45383522727272,5.812926821103374,0.10884390771389,0.0433475039899349,0.2362680816412085,8,1.0,0,24672,sweep_s8_cfg1.0,5.998857252093033
controls.high_arousal.p8.g2,controls,high_arousal,urgent intense chase scene music,2,stable-audio-3-medium,-21.955576322162432,0.70477294921875,5.471187222938535,4.727929678827271,5.658883259619973,112.34714673913044,6.067366626381216,0.0655832886695861,0.0369247607886791,0.2839994803888115,8,1.0,0,9988,sweep_s8_cfg1.0,5.689305235987886
controls.high_arousal.p9.g0,controls,high_arousal,thunderous battle music with pounding percussion,0,stable-audio-3-medium,-22.18343134808593,0.789794921875,4.017276475469847,4.135331794409653,4.445473765686207,129.19921875,2.422222222222222,0.0844958499073982,0.0390992201864719,0.3491837189519413,8,1.0,0,27116,sweep_s8_cfg1.0,4.173735350853221
controls.high_arousal.p9.g2,controls,high_arousal,thunderous battle music with pounding percussion,2,stable-audio-3-medium,-21.37805534140241,0.643341064453125,4.433056846430123,4.227748721045024,4.17755857193909,129.19921875,2.220648484640702,0.0754020810127258,0.0471653677523136,0.2683876918577996,8,1.0,0,50838,sweep_s8_cfg1.0,4.414820317872037
