clip_id,prompt_id,group,category,prompt,seed,clip_seed,num_inference_steps,cfg_scale,duration_s,lufs_in,proxy_arousal_deploy,proxy_valence_deploy,proxy_arousal_foldmean,proxy_arousal_lufs23_deploy,proxy_arousal_lufs23_foldmean,aux_arousal,aux_arousal_lufs23,clap_similarity,tempo_bpm,onset_density,spectral_flux_mean,roughness,rms_mean,spectral_centroid_mean,mode_majorness
anxiolytic.anxiety_relief.p2.g11,anxiolytic.anxiety_relief.p2,anxiolytic,anxiety_relief,peaceful music to calm my nerves,0,40771,8,1.0,45.0,-23.2630090394614,3.0337529697858048,4.280053623418952,3.1141691134814957,3.0474170378152228,3.135147611507732,3.5249306516991274,3.5279219503392536,0.306189596346795,129.19921875,3.109828022428884,0.0391296781599521,0.1203526889010244,0.0710772946476936,883.5137153157694,-0.0975770620625667
anxiolytic.anxiety_relief.p3.g1,anxiolytic.anxiety_relief.p3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,0,63306,8,1.0,45.0,-24.60589908208195,2.770201568268256,3.387082172345063,2.896399208423171,2.694211586932934,2.7769191452368123,3.187643348078865,3.2115301298558574,0.2524848577835564,60.09265988372093,1.427200672238372,0.0440587811172008,0.1090713866569612,0.0580913498997688,522.685590565503,-0.2687984261252212
anxiolytic.anxiety_relief.p3.g3,anxiolytic.anxiety_relief.p3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,0,91446,8,1.0,45.0,-21.14229919230814,3.53602128498981,3.7171277345320695,3.433207646160143,3.287160619786247,3.1135993667458735,3.733492749988936,3.680471049411363,0.3664816018254434,86.1328125,1.9333333333333331,0.0385766178369522,0.1262429650496894,0.0924667716026306,672.3002411610306,0.1345715968067986
anxiolytic.anxiety_relief.p3.g5,anxiolytic.anxiety_relief.p3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,0,33821,8,1.0,45.0,-21.680062598313235,4.69200649746425,4.454821010317824,4.4116450776323655,4.258745468120012,4.2344154288183615,4.493997661146432,4.448398308493628,0.1645706988459623,86.1328125,2.977777777777778,0.0463552176952362,0.1909051288894215,0.0843987390398979,1329.544358011742,0.3269281453476518
anxiolytic.anxiety_relief.p3.g7,anxiolytic.anxiety_relief.p3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,0,43695,8,1.0,45.0,-24.263981297617864,3.67599923894636,3.245878509662363,3.4430971884972785,3.842731748830398,3.661503789153065,3.6606599200664505,3.6869931620073615,0.2660084960184763,129.19921875,2.045487545172948,0.0391445010900497,0.1294978681264413,0.0573222152888774,511.2724381716493,0.3499973201193985
anxiolytic.anxiety_relief.p3.g9,anxiolytic.anxiety_relief.p3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,0,18226,8,1.0,45.0,-23.03283695066671,3.6620570750944834,3.732608629253402,3.5912740026938743,3.6620570750944834,3.588331598507545,3.4128983531059767,3.4127086639686883,0.174451589409899,89.10290948275862,1.8986265120967745,0.0310037322342395,0.1630349971157411,0.0617908760905265,582.6316615761718,0.168165896365775
anxiolytic.anxiety_relief.p3.g11,anxiolytic.anxiety_relief.p3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,0,37860,8,1.0,45.0,-22.890041638507583,3.0939642692998364,3.1418558206451253,3.4020206748976314,3.042386759776851,3.3976079453811914,2.838685260519387,2.8383477272380944,0.1943632660352662,92.28515625,1.3595066713483146,0.0455506443977355,0.0708225996166735,0.0600862056016922,653.0149534106586,0.2543800332640523
anxiolytic.anxiety_relief.p4.g1,anxiolytic.anxiety_relief.p4,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,0,56708,8,1.0,45.0,-19.83388493874271,3.541260376944081,3.855971886345193,3.414603780313377,3.52830210107011,3.2952899237193245,3.778831631281264,3.76666522458756,0.4154869561503078,123.046875,5.552440242416035,0.0430903583765029,0.0741435324187682,0.0835100784897804,1311.886368566748,-0.1457330293615488
anxiolytic.anxiety_relief.p4.g3,anxiolytic.anxiety_relief.p4,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,0,92891,8,1.0,45.0,-20.688778551543884,3.2495613088107147,3.1258803729974107,3.108948071203737,3.1381391600897715,3.014071610610339,2.7515667093728755,2.710066189077855,0.3359775740111354,117.45383522727272,0.689596381069215,0.0606776103377342,0.034772884278177,0.0847447961568832,727.8337116483817,-0.0338717951156133
anxiolytic.anxiety_relief.p4.g5,anxiolytic.anxiety_relief.p4,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,0,27727,8,1.0,45.0,-19.687677202605364,2.950396626421869,3.520652121697984,3.1540329877337903,2.94589704462118,2.9491319644344633,3.287483300340898,3.2028823162669333,0.3514537421201066,86.1328125,3.133349790892193,0.0451830253005027,0.1524678891845491,0.1064020991325378,632.0546137972555,-0.2693183222244887
anxiolytic.anxiety_relief.p4.g7,anxiolytic.anxiety_relief.p4,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,0,48948,8,1.0,45.0,-18.784078336601656,4.166543355736394,3.800059378534693,4.196376913770129,4.162750190167484,3.8806609407089176,3.107146013397617,3.008981907910645,0.3152161613192483,123.046875,2.4474897540983607,0.0566073283553123,0.1132781561798688,0.1009622886776924,1611.323886176192,0.009921378057238
anxiolytic.anxiety_relief.p4.g9,anxiolytic.anxiety_relief.p4,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,0,32630,8,1.0,45.0,-17.462882416259568,3.332128077669612,3.108837238509631,3.3193216458324386,3.0995605528426786,2.9958656098760885,3.161416463748412,2.9831516236904605,0.2360398468995039,123.046875,5.548007246376812,0.0733922868967056,0.1062321000780064,0.1313953101634979,592.309157963722,-0.008545952555175
anxiolytic.anxiety_relief.p4.g11,anxiolytic.anxiety_relief.p4,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,0,52355,8,1.0,45.0,-20.299158226053297,2.6788192488838387,2.9810359307735155,2.83763607181426,2.6528985409059667,2.8154343331365608,2.1567229803312107,2.121752009283492,0.3788540811152485,123.046875,0.3955315538897893,0.0430688597261905,0.3165037286544997,0.0904648303985595,945.080252552424,0.0301447548855817
anxiolytic.anxiety_relief.p5.g1,anxiolytic.anxiety_relief.p5,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,0,40487,8,1.0,45.0,-19.70931835627319,3.899661947459464,3.484186133598261,3.977138343263141,3.0100810049431166,3.195523506877592,3.655093808432307,3.5846109138519218,0.2892178466537938,129.19921875,2.6236943434412736,0.035464771091938,0.1296613382719656,0.0921946838498115,675.7010955756998,0.2642267122622006
anxiolytic.anxiety_relief.p5.g3,anxiolytic.anxiety_relief.p5,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,0,29539,8,1.0,45.0,-22.77257577636806,3.088357713745796,2.9953783044777067,2.8483776987013725,2.935610472287004,2.795666980340349,3.0214002739649213,3.0198176894594644,0.4023193298512019,64.599609375,0.9998429537089468,0.0243286788463592,0.0864551850158325,0.0654323399066925,513.5118662345494,-0.0470226516685863
anxiolytic.anxiety_relief.p5.g5,anxiolytic.anxiety_relief.p5,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,0,17886,8,1.0,45.0,-21.373465357671783,4.010594445089825,4.107191846225303,3.8259967501670324,3.755751360127788,3.6227566794517174,3.729353663404273,3.711061946965354,0.4594543821335077,135.99917763157896,2.3837494234317345,0.0282091218978166,0.1730070670975114,0.0838284268975257,994.4276463637063,0.3710943225453792
anxiolytic.anxiety_relief.p5.g7,anxiolytic.anxiety_relief.p5,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,0,44578,8,1.0,45.0,-25.721363647783637,3.347018445204848,3.7017021401298025,3.4336699969643667,3.419138079614973,3.431766315629786,3.303069442559468,3.3151351859071045,0.3603570374435931,129.19921875,1.6503137303149606,0.0228107646107673,0.1713312335660952,0.0410389341413974,525.0433188771711,0.2911221326610456
anxiolytic.anxiety_relief.p5.g9,anxiolytic.anxiety_relief.p5,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,0,45535,8,1.0,45.0,-21.859464559274155,3.142634594705972,3.553194166632835,3.2342399827253567,3.0706661827619204,3.1463200568437086,3.145614223811162,3.149775794632132,0.4046437920629255,129.19921875,1.2057683736133122,0.0197886135429143,0.1703970617549139,0.059097733348608,468.7675165074481,0.3264330662248782
anxiolytic.anxiety_relief.p5.g11,anxiolytic.anxiety_relief.p5,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,0,64114,8,1.0,45.0,-24.59215532266476,3.17728547324698,3.632073712643286,3.0885918597890027,3.2643440089555327,3.223263177762611,3.1330238493161,3.133582392217622,0.371128044420573,129.19921875,1.19563784363092,0.0210641212761402,0.1248420568522344,0.0439321286976337,466.3082330333884,0.167358147185852
